Location,Percent Change in Diabetes Prevalence,FIPS Code,State Name
Vernon County,41.93,29217,MO
Warren County,43.84,29219,MO
Washington County,43.58,29221,MO
Wayne County,41.31,29223,MO
Webster County,47.32,29225,MO
Worth County,40.28,29227,MO
Wright County,49.44,29229,MO
Saint Louis City,35.07,29510,MO
Oklahoma,48.3,40,OK
Adair County,45.02,40001,OK
Alfalfa County,44.99,40003,OK
Atoka County,42.71,40005,OK
Beaver County,51.91,40007,OK
Beckham County,39.68,40009,OK
Blaine County,42.77,40011,OK
Bryan County,49.64,40013,OK
Caddo County,45.37,40015,OK
Canadian County,48.04,40017,OK
Carter County,47.68,40019,OK
Cherokee County,49.22,40021,OK
Choctaw County,47.29,40023,OK
Cimarron County,48.32,40025,OK
Cleveland County,56.8,40027,OK
Coal County,47.97,40029,OK
Comanche County,45.35,40031,OK
Cotton County,37.69,40033,OK
Craig County,53.04,40035,OK
Creek County,46.48,40037,OK
Custer County,42.7,40039,OK
Delaware County,46.14,40041,OK
Dewey County,44.13,40043,OK
Ellis County,43.58,40045,OK
Garfield County,52.04,40047,OK
Garvin County,51.22,40049,OK
Grady County,50.99,40051,OK
Grant County,42.85,40053,OK
Greer County,38.83,40055,OK
Harmon County,30.26,40057,OK
Harper County,51,40059,OK
Haskell County,53.74,40061,OK
Hughes County,51.45,40063,OK
Jackson County,32,40065,OK
Jefferson County,43.91,40067,OK
Johnston County,46.76,40069,OK
Kay County,48.45,40071,OK
Kingfisher County,46.29,40073,OK
Kiowa County,34.57,40075,OK
Latimer County,46.41,40077,OK
Le Flore County,52.39,40079,OK
Lincoln County,42.55,40081,OK
Logan County,40.34,40083,OK
Love County,42.81,40085,OK
McClain County,49.69,40087,OK
McCurtain County,45.66,40089,OK
McIntosh County,53.3,40091,OK
Major County,45.29,40093,OK
Marshall County,49.6,40095,OK
Mayes County,49.51,40097,OK
Murray County,45.34,40099,OK
Muskogee County,51.7,40101,OK
Noble County,38.82,40103,OK
Nowata County,47.15,40105,OK
Okfuskee County,45.28,40107,OK
Oklahoma County,51.87,40109,OK
Okmulgee County,47.43,40111,OK
Osage County,45.29,40113,OK
Ottawa County,49.33,40115,OK
Pawnee County,39.03,40117,OK
Payne County,49.36,40119,OK
Pittsburg County,49.65,40121,OK
Pontotoc County,51.14,40123,OK
